Ambiente Construido,Razonamiento basado en matemáticas,Análisis químico del ambiente y de los materiales de construcción,Exploración en el hábitat: De la escala del elemento al territorio,Modelación de la física en el ambiente construido: Estática,Modelación de la física en el ambiente construido: Dinámica,Resolución de problemas con lógica computacional,Fundamentos de geología aplicada al ambiente construido,Evaluación del impacto ambiental de proyectos territoriales,Modelación y representación gráfica de un edificio,Aplicación de métodos numéricos al ambiente construido,Análisis de fenómenos naturales y sociales con probabilidad y estadística,Modelación y representación gráfica de tu campus con topografía,Modelación y representación gráfica de tu entorno con geomática
Ciencias Sociales,Introducción a las ciencias sociales,Pensamiento matemático I,Transformación del México Contemporaneo,Desafíos Globales,Filosofía política para los dilemas contemporáneos,Principios de programación para las ciencias sociales,Microeconomía,Pensamiento Matemático II,Métodos cuantitativos I,Macroeconomía,Introducción al derecho,Herramientas tecnológicas para las ciencias sociales,Emprendimiento y teconología para la transformación de méxico
Estudios Creativos,Metodologías del pensamiento creativo,Cultura visual y sonora,Imersión y experimentación creativa,Técincas y discursos fotográficos,Metodologías de investigación de factores humanos,Semiótica y narratologías contemporáneas,Imaginarios culturales de méxico,Representación formal del espacio,"Estructuras simbólicas en la imagen, la literatura y la música",Narrativa audiovisual
Negocios,Análisis financiero,Economía empresarial,El rol de los negocios en la sociedad,Decisiones financieras,Programación para negocios,Globalización de los negocios,Razonamiento Matemático,Dirección de los negocios,Estrategia y talento,Innovación de los modelos de negocios,Procesos de gestión de talento,Ideación y prototipado,Pensamiento estadístico,Comunicación que inspira,Descubrimientos del mercado para el desarrollo de estrategias,Análisis para la toma de decisiones,Legalidad y negocios responsables,Dirección financiera
Salud,Sistemas musculoesquelético,Sistema digestivo,Bases de la salud,Aporte y consumo de oxígeno,Control de la energía,Metabolismo y energía,Genética humana,Sistema endócrino,Mecanismos celulares y moleculares,Embriología,Reproducción humana,Ciclo de vida: concepción y embarazo,Crecimiento y desarrollo,Desarrollo emocional y conductal,Ciclo de vida: infancia y adolesencia,Morfofisiología renal,Sistema Nervioso,Ciclo de vida: edad adulta
Innovación y transformación,Pensamiento computacional para ingeniería,Fundamentación de la estructura y transformación de la materia,Modelación de la ingeniería y ciencias,Modelación matemática fundamental,Modelación del movimiento en ingeniería,"Analisis de la estructura, propiedades y transformación de la materia",Aplicación de las leyes de conservación en sistemas ingenieriles,Modelación matematica intermedia,Experimentación fisica y pensamiento estadístico,Aplicación de la temodinámica en sistemas ingenieriles,Experimentación química y pensamiento estadístico fundamental,Análisis de sistemas eléctricos en sistemas ingenieriles,Modelación matricial,Análisis estadístico,Análisis de sistemas electromagnéticos en sistemas ingenieriles
Computación y Tecnologías de Infromación,Pensamiento computacional para ingeniería,Fundamentación de la estructura y transformación de la materia,Modelación de la ingeniería y ciencias,Modelación matemática fundamental,Modelación computacional del movimiento,Pensamiento computacional orientado a objetos,Modelación computacional aplicando leyes de conservación,Modelación matematica intermedia,Experimentación fisica y pensamiento estadístico,Modelación de la ingenieria con matemática computacional,Análisis de biología computacional,Modelación computacional de sistemas eléctricos,Programación orientada a objetos,Análisis estadístico,Modelación computacional de sistemas electromagnéticos
Bioingeniería y Procesos Químicos,Pensamiento computacional para ingeniería,Fundamentación de la estructura y transformación de la materia,Modelación de la ingeniería y ciencias,Pensamiento computacional para ingeniería,Modelación matemática fundamental,Modelación del movimiento en bioingeniería y procesos químicos,Análisis de la estructura y transformación de la materia,Aplicación de las leyes de conservación en ingeniería de procesos,Modelación matemática intermedia,Experimentación física y pensamiento estadístico,Aplicación de la temodinámica en ingeniería de procesos,Experimentación química y pensamiento estadístico fundamental,Análisis de sistemas eléctricos en ingeniería de procesos,Análisis de la transformación de la materia en procesos químicos,Experimentación química y pensamiento estadístico intermedio,Análisis de sistemas electromagnéticos en ingeniería de procesos
Ciencias aplicadas,Pensamiento computacional para ingeniería,Fundamentación de la estructura y transformación de la materia,Modelación de la ingeniería y ciencias,Pensamiento computacional para ingeniería,Modelación matemática fundamental,Modelación del movimiento en ciencias,Análisis de la estructura y propiedades de la materia,Modelación matematica fundamental,Aplicación de las leyes de conservación en ciencias,Modelación matematica intermedia,Experimentación química y pensamiento estadístico fundamental,Análisis de sistemas elécticos en ciencias,Modelación matricial,Análisis estadístico,Análisis de sistemas electromagnéticos en ciencias
